Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,101.17,192.15,13.06,17.31,35.88,27.91,5.52,1.18,10.26,0.01,NA,NA,NA,0.03,NA,14.28,80.64,0.37,175.39,0.00,0.00,83.03,NA,NA
2022-01-02 00:00:00,80.84,171.88,24.00,25.92,60.27,27.56,10.17,1.85,9.37,4.87,NA,NA,NA,384.31,384.31,13.43,79.02,0.26,159.36,0.00,0.00,81.58,NA,NA
2022-01-03 00:00:00,102.05,219.46,28.67,31.71,72.70,26.49,14.12,2.02,25.78,2.45,NA,NA,NA,336.44,336.00,13.77,79.39,0.29,151.53,0.00,0.00,82.81,NA,NA
2022-01-04 00:00:00,85.24,192.14,35.70,36.11,87.29,25.04,11.44,2.07,9.68,1.70,NA,NA,NA,3.62,3.88,14.72,80.27,0.27,161.89,0.00,0.00,80.59,NA,NA
2022-01-05 00:00:00,91.56,198.31,37.34,26.10,80.09,24.98,11.26,2.41,6.78,1.71,NA,NA,NA,3.10,4.12,14.97,84.47,0.42,97.54,0.00,0.08,57.45,NA,NA
2022-01-06 00:00:00,58.51,128.51,5.62,18.21,25.58,26.18,7.19,1.54,5.34,0.66,NA,NA,NA,0.94,1.53,14.07,92.93,0.49,112.12,0.23,22.42,12.85,NA,NA
2022-01-07 00:00:00,64.58,114.14,5.64,11.36,19.22,26.00,5.87,1.05,5.96,0.51,NA,NA,NA,0.57,1.12,16.10,92.60,0.48,96.10,0.00,0.44,37.24,NA,NA
2022-01-08 00:00:00,28.66,50.84,4.39,9.04,15.15,26.05,4.68,0.68,7.00,5.04,NA,NA,NA,5.23,5.82,16.94,90.62,0.61,125.58,0.05,4.63,36.89,NA,NA
2022-01-09 00:00:00,39.26,65.96,4.93,10.07,16.94,26.01,5.04,0.73,6.45,0.22,NA,NA,NA,0.31,1.10,15.94,93.80,0.41,131.62,0.06,5.57,27.73,NA,NA
2022-01-10 00:00:00,41.50,75.81,7.11,11.57,21.59,25.92,5.43,0.85,6.23,0.31,NA,NA,NA,0.50,1.66,16.65,89.66,0.37,179.04,0.00,0.20,49.69,NA,NA
2022-01-11 00:00:00,55.47,122.85,10.15,11.39,25.90,24.04,6.22,0.95,10.87,0.42,NA,NA,NA,0.47,1.53,15.65,86.47,0.33,189.08,0.01,0.59,60.48,NA,NA
2022-01-12 00:00:00,47.93,111.25,4.35,12.61,18.53,21.52,3.45,0.88,7.31,0.26,NA,NA,NA,0.65,1.79,15.41,76.61,0.52,209.95,0.00,0.12,91.08,NA,NA
2022-01-13 00:00:00,59.83,128.21,7.71,14.39,25.20,22.67,3.43,1.04,9.24,0.44,NA,NA,NA,0.65,1.92,13.91,77.13,0.36,171.31,0.00,0.00,96.37,NA,NA
2022-01-14 00:00:00,49.80,100.07,7.82,15.85,26.74,25.62,3.36,1.24,9.88,0.39,NA,NA,NA,0.63,1.79,13.11,78.59,0.44,180.13,0.00,0.12,97.11,NA,NA
2022-01-15 00:00:00,68.53,134.33,3.97,12.00,17.38,25.55,3.43,1.00,11.94,0.27,NA,NA,NA,0.24,0.79,10.96,83.13,0.51,193.99,0.00,0.00,67.83,NA,NA
2022-01-16 00:00:00,76.08,159.70,4.18,14.99,20.56,25.37,2.93,1.18,6.48,0.35,NA,NA,NA,0.26,0.89,9.98,85.41,0.36,190.39,0.00,0.00,76.58,NA,NA
2022-01-17 00:00:00,73.37,143.75,2.04,8.32,10.99,25.08,1.76,1.03,7.83,0.26,NA,NA,NA,0.10,0.54,9.64,82.10,0.48,211.77,0.00,0.08,68.84,NA,NA
2022-01-18 00:00:00,83.35,178.98,10.87,16.16,31.20,23.18,2.98,1.29,4.72,0.43,NA,NA,NA,0.28,0.93,8.90,88.73,0.49,218.40,0.00,0.08,58.30,NA,NA
2022-01-19 00:00:00,85.49,168.25,5.72,10.99,18.98,20.50,2.46,1.35,8.05,0.28,NA,NA,NA,0.14,0.82,10.06,81.41,0.40,186.39,0.00,0.12,60.18,NA,NA
2022-01-20 00:00:00,106.34,238.81,40.99,20.30,79.89,18.76,3.91,2.39,6.37,0.86,NA,NA,NA,0.50,2.08,11.90,83.70,0.34,131.28,0.00,0.36,80.31,NA,NA
2022-01-21 00:00:00,107.67,246.76,26.90,24.93,63.59,19.78,5.29,2.70,15.64,0.47,NA,NA,NA,0.53,2.36,13.91,82.50,0.33,127.40,0.00,0.44,83.33,NA,NA
2022-01-22 00:00:00,73.86,146.98,16.56,15.80,39.57,20.38,4.24,1.84,6.11,0.77,NA,NA,NA,0.59,1.87,12.90,88.40,0.71,86.40,0.01,1.16,34.28,NA,NA
2022-01-23 00:00:00,68.06,144.37,4.44,10.46,16.59,20.87,4.06,1.19,6.27,0.26,NA,NA,NA,0.11,0.67,14.65,90.45,0.54,128.11,0.00,0.04,18.38,NA,NA
2022-01-24 00:00:00,52.01,139.68,3.32,12.88,17.26,20.97,4.01,1.12,6.39,0.17,NA,NA,NA,0.14,0.68,14.60,82.78,0.61,240.19,0.00,0.00,69.92,NA,NA
2022-01-25 00:00:00,65.40,136.35,6.19,14.50,23.05,22.48,5.08,0.95,16.11,0.22,NA,NA,NA,0.10,0.62,13.30,75.34,0.46,192.03,0.00,0.00,104.66,NA,NA
2022-01-26 00:00:00,75.38,165.49,3.12,14.38,18.42,25.21,3.96,1.00,7.03,0.17,NA,NA,NA,0.12,0.60,11.32,82.43,0.46,203.89,0.00,0.00,82.19,NA,NA
2022-01-27 00:00:00,77.61,192.83,16.21,23.20,46.17,24.64,5.40,1.38,6.93,0.24,NA,NA,NA,0.13,0.86,11.79,83.81,0.42,193.62,0.00,0.36,88.03,NA,NA
2022-01-28 00:00:00,60.39,140.68,5.03,20.70,27.29,27.33,5.95,0.90,18.93,8.83,NA,NA,NA,13.88,14.40,13.69,68.87,0.54,209.84,0.00,0.12,110.38,NA,NA
2022-01-29 00:00:00,56.79,151.54,8.82,29.37,41.21,29.17,4.22,0.98,9.88,0.21,NA,NA,NA,0.13,0.59,13.99,69.61,0.39,191.66,0.00,0.00,105.27,NA,NA
2022-01-30 00:00:00,47.01,139.21,6.03,22.93,30.92,29.22,3.73,0.90,9.91,0.17,NA,NA,NA,0.05,0.57,15.89,67.18,0.49,197.31,0.00,0.08,111.11,NA,NA
2022-01-31 00:00:00,91.44,206.05,15.93,24.86,47.36,29.18,4.71,1.69,6.35,0.31,NA,NA,NA,0.26,1.19,13.88,82.59,0.37,110.57,0.00,0.00,92.58,NA,NA
2022-02-01 00:00:00,70.36,170.22,6.24,24.79,33.02,29.54,4.92,1.54,7.84,0.23,NA,NA,NA,0.15,0.86,15.62,82.16,0.40,184.39,0.00,0.16,97.19,NA,NA
2022-02-02 00:00:00,85.07,198.82,4.25,23.95,27.58,27.55,5.46,1.48,20.79,0.28,NA,NA,NA,0.12,0.72,15.05,80.22,0.45,163.63,0.00,0.08,101.86,NA,NA
2022-02-03 00:00:00,71.80,160.78,2.20,13.43,16.15,25.22,4.85,1.10,14.61,0.09,NA,NA,NA,NA,0.14,16.11,82.16,1.04,102.68,0.08,7.46,83.48,NA,NA
2022-02-04 00:00:00,44.35,99.93,3.45,17.25,21.66,25.23,4.50,0.89,7.42,0.08,NA,NA,NA,0.03,0.36,14.57,86.28,0.57,190.12,0.00,0.36,80.65,NA,NA
2022-02-05 00:00:00,37.74,90.97,4.00,19.87,24.99,25.16,5.50,0.93,13.11,0.09,NA,NA,NA,0.06,0.38,13.87,81.07,0.49,199.28,0.00,0.32,99.08,NA,NA
2022-02-06 00:00:00,66.41,172.46,10.38,26.99,41.23,24.92,5.16,1.27,9.86,0.17,NA,NA,NA,0.09,0.49,13.39,81.31,0.28,138.06,0.00,0.43,103.42,NA,NA
2022-02-07 00:00:00,59.18,138.02,27.70,26.32,66.10,22.41,6.06,1.50,21.19,0.25,NA,NA,NA,0.07,0.58,15.29,73.89,0.30,126.61,0.00,0.00,117.22,NA,NA
2022-02-08 00:00:00,58.98,124.41,8.12,23.08,34.14,19.48,5.41,1.10,14.98,0.13,NA,NA,NA,0.07,0.60,17.82,70.70,0.42,97.42,0.00,0.12,110.25,NA,NA
2022-02-09 00:00:00,56.26,109.65,3.01,13.13,17.04,18.33,4.84,0.93,12.95,0.09,NA,NA,NA,NA,0.10,16.89,77.37,0.90,102.82,0.00,0.24,101.57,NA,NA
2022-02-10 00:00:00,40.85,89.92,3.51,16.08,20.62,18.28,4.70,0.70,10.19,0.06,NA,NA,NA,0.01,0.19,16.06,74.26,0.71,236.73,0.00,0.32,124.26,NA,NA
2022-02-11 00:00:00,54.76,123.91,2.44,20.92,23.70,17.56,6.50,0.69,23.36,0.06,NA,NA,NA,NA,0.17,16.63,63.34,0.62,205.22,0.00,0.32,125.53,NA,NA
2022-02-12 00:00:00,60.19,140.61,6.30,25.97,34.24,16.31,6.23,0.79,15.46,0.07,NA,NA,NA,NA,0.21,16.52,59.51,0.51,193.87,0.00,0.00,131.45,NA,NA
2022-02-13 00:00:00,83.48,167.12,22.85,36.68,68.92,15.83,6.65,1.23,12.25,0.14,NA,NA,NA,0.06,0.57,16.50,64.04,0.36,162.36,0.00,0.12,125.40,NA,NA
2022-02-14 00:00:00,112.65,208.39,64.51,43.50,136.84,14.51,6.97,2.51,11.75,0.33,NA,NA,NA,0.07,1.33,16.87,69.68,0.32,149.12,0.00,0.28,111.55,NA,NA
2022-02-15 00:00:00,73.89,178.57,59.83,47.40,133.70,15.72,8.41,2.04,11.83,0.33,NA,NA,NA,0.08,1.27,17.60,70.92,0.29,146.13,0.00,0.00,104.33,NA,NA
2022-02-16 00:00:00,41.32,132.20,23.06,37.11,69.62,17.63,6.53,0.63,12.05,0.24,NA,NA,NA,NA,0.48,18.47,66.48,0.38,187.25,0.00,0.00,121.09,NA,NA
2022-02-17 00:00:00,37.79,116.55,25.87,35.66,72.38,17.62,7.58,0.63,14.14,0.07,NA,NA,NA,NA,0.53,19.50,58.77,0.46,195.25,0.00,0.16,131.45,NA,NA
2022-02-18 00:00:00,56.03,127.34,40.26,36.40,94.29,17.00,7.37,0.86,10.11,0.18,NA,NA,NA,0.01,0.53,19.74,57.65,0.37,174.62,0.00,0.12,129.48,NA,NA
2022-02-19 00:00:00,75.40,155.52,47.52,38.07,83.10,19.41,10.12,1.05,17.03,0.23,NA,NA,NA,0.01,0.67,20.42,58.75,0.44,198.65,0.00,0.16,124.56,NA,NA
2022-02-20 00:00:00,48.67,103.61,5.73,21.65,29.24,22.50,8.37,0.51,10.92,0.06,NA,NA,NA,NA,0.13,19.32,58.66,0.54,195.18,0.00,0.00,131.58,NA,NA
2022-02-21 00:00:00,61.38,135.30,21.36,33.03,63.21,20.84,7.96,0.71,11.13,0.14,NA,NA,NA,NA,0.21,19.23,59.03,0.46,183.89,0.00,0.04,132.92,NA,NA
2022-02-22 00:00:00,52.35,106.44,29.41,24.29,66.67,17.02,7.53,0.60,8.87,0.07,NA,NA,NA,NA,0.19,20.13,58.91,0.73,85.70,0.00,0.12,131.51,NA,NA
2022-02-23 00:00:00,57.49,96.28,2.95,12.14,16.02,16.63,7.32,0.43,16.59,0.09,NA,NA,NA,NA,0.04,22.00,62.64,0.98,91.36,0.00,0.36,128.67,NA,NA
2022-02-24 00:00:00,60.61,103.07,3.18,15.27,19.35,16.70,6.96,0.46,14.69,0.07,NA,NA,NA,NA,0.12,22.48,63.78,0.69,109.91,0.01,0.60,114.71,NA,NA
2022-02-25 00:00:00,64.41,119.92,4.66,23.78,29.72,17.74,6.60,0.58,16.06,0.05,NA,NA,NA,NA,0.14,22.39,62.41,0.34,132.72,0.00,0.08,124.19,NA,NA
2022-02-26 00:00:00,55.73,103.37,3.46,20.09,24.40,19.27,6.32,0.49,12.41,0.08,NA,NA,NA,NA,0.08,21.73,60.55,0.90,87.93,0.00,0.00,127.94,NA,NA
2022-02-27 00:00:00,33.73,69.68,3.25,16.88,21.02,19.26,6.20,0.38,9.49,0.07,NA,NA,NA,NA,0.02,21.92,59.18,0.62,148.31,0.00,0.00,132.32,NA,NA
2022-02-28 00:00:00,31.68,73.83,3.15,16.69,20.68,18.34,7.04,0.38,13.08,0.06,NA,NA,NA,NA,0.05,20.47,54.30,0.66,216.40,0.00,0.00,153.09,NA,NA
2022-03-01 00:00:00,66.89,128.18,6.44,34.93,43.06,15.70,9.72,0.61,12.34,0.11,NA,NA,NA,NA,0.14,20.24,56.36,0.42,174.46,0.00,0.16,140.97,NA,NA
2022-03-02 00:00:00,85.17,159.41,10.27,37.36,51.04,17.01,11.81,0.81,12.33,0.05,NA,NA,NA,NA,0.28,21.04,58.25,0.37,173.41,0.00,0.40,138.15,NA,NA
2022-03-03 00:00:00,77.49,183.83,24.07,43.13,75.32,19.73,8.69,0.97,10.99,0.24,NA,NA,NA,NA,0.43,21.77,58.97,0.36,161.36,0.00,0.00,127.93,NA,NA
