Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NH3 (µg/m³),Benzene (µg/m³),AT (°C),RH (%),AQI
2022-07-31,21.02,56.9,13.52,0.1,30.12,81.91,39.0
2022-12-07,43.57,146.47,33.31,0.17,17.36,68.67,131.0
2022-07-22,17.19,40.47,18.4,0.09,28.62,87.69,32.0
2022-03-17,66.74,147.13,15.17,0.0,29.48,58.16,172.0
2022-03-26,51.02,155.58,19.83,0.03,29.15,37.44,113.0
2022-12-20,56.89,205.3,50.87,0.34,14.43,84.81,187.0
2022-01-17,73.37,143.75,25.08,0.26,9.64,82.1,165.0
2022-03-08,61.09,131.07,16.79,0.08,23.23,57.0,144.0
2022-09-29,38.98,98.07,28.61,0.16,30.3,75.43,93.0
2022-01-08,28.66,50.84,26.05,5.04,16.94,90.62,89.0
2022-04-24,46.53,150.9,14.73,0.0,33.43,25.25,122.0
2022-04-27,57.86,147.33,14.42,0.2,35.04,27.75,153.0
2022-11-20,81.95,219.55,37.81,0.31,19.51,72.68,196.0
2022-11-15,75.01,194.09,31.02,0.32,21.68,67.79,182.0
2022-09-13,9.8,21.13,16.36,0.07,26.89,88.26,30.0
2022-10-29,102.02,178.62,24.83,0.2,24.44,75.61,249.0
2022-04-21,47.36,150.73,15.81,0.0,33.01,41.81,115.0
2022-11-18,80.48,208.71,29.34,0.24,18.86,68.19,224.0
2022-03-02,85.17,159.41,17.01,0.05,21.04,58.25,129.0
2022-06-05,89.45,210.02,6.69,0.17,36.94,28.87,147.0
2022-09-19,24.24,53.14,23.44,0.12,29.18,84.22,69.0
2022-05-13,37.89,103.98,12.06,0.11,36.14,45.95,93.0
2022-08-11,8.37,33.73,28.86,0.07,30.37,73.02,34.0
2022-05-21,40.47,134.6,15.46,0.09,34.9,41.57,119.0
2022-01-18,83.35,178.98,23.18,0.43,8.9,88.73,173.0
2022-05-29,68.25,187.94,18.63,0.09,35.4,47.07,158.0
2022-01-25,65.4,136.35,22.48,0.22,13.3,75.34,148.0
2022-07-18,21.1,51.94,25.31,0.06,35.01,57.5,55.0
2022-11-17,71.41,167.33,26.74,0.18,20.36,60.16,166.0
2022-12-23,35.61,113.33,38.62,0.2,17.75,64.82,84.0
2022-10-22,96.52,188.39,17.3,0.19,26.01,72.2,172.0
2022-05-20,59.8,177.51,14.11,0.18,37.4,33.43,146.0
2022-06-08,111.26,391.1,5.22,0.13,36.85,33.7,239.0
2022-08-18,10.39,37.2,35.28,0.07,31.63,72.19,33.0
2022-12-27,80.23,185.95,35.48,0.22,11.77,84.29,199.0
2022-07-29,13.57,33.43,12.84,0.08,29.55,82.17,29.0
2022-11-25,92.62,262.94,29.43,0.37,18.67,69.64,230.0
2022-09-26,18.35,45.4,26.18,0.16,26.99,90.77,61.0
2022-08-20,9.15,24.03,15.25,0.09,29.08,83.46,29.0
2022-06-07,75.39,233.68,5.39,0.12,37.27,30.68,155.0
2022-01-20,106.34,238.81,18.76,0.86,11.9,83.7,294.0
2022-05-28,50.73,142.38,18.48,0.07,35.11,43.36,98.0
2022-03-21,52.82,146.71,19.84,0.04,30.74,41.84,124.0
2022-08-21,13.72,36.45,11.44,0.09,28.5,84.72,26.0
2022-01-19,85.49,168.25,20.5,0.28,10.06,81.41,170.0
2022-10-08,10.55,22.46,19.48,0.1,26.99,89.06,27.0
2022-04-15,45.99,161.63,15.21,0.0,33.79,28.45,148.0
2022-10-10,10.51,12.88,16.27,0.09,23.3,96.02,22.0
2022-04-29,67.63,162.82,16.88,0.24,35.93,28.36,159.0
2022-02-01,70.36,170.22,29.54,0.23,15.62,82.16,183.0
2022-02-06,66.41,172.46,24.92,0.17,13.39,81.31,115.0
2022-10-13,53.93,95.87,15.12,0.22,26.44,82.63,66.0
2022-07-01,18.86,36.49,7.97,0.06,30.58,75.03,33.0
2022-11-19,108.65,282.21,31.18,0.48,18.77,72.82,213.0
2022-10-27,105.02,194.68,21.71,0.26,24.23,71.59,207.0
2022-06-03,91.56,249.58,6.92,0.18,36.35,33.13,183.0
2022-06-22,41.55,78.62,9.58,0.07,33.82,57.96,67.0
2022-06-23,49.5,106.1,10.68,0.07,35.27,53.64,99.0
2022-03-01,66.89,128.18,15.7,0.11,20.24,56.36,95.0
2022-04-22,44.95,138.25,15.29,0.0,33.57,31.82,147.0
2022-05-26,63.92,167.14,18.43,0.12,33.42,43.57,135.0
2022-01-07,64.58,114.14,26.0,0.51,16.1,92.6,136.0
2022-11-13,117.92,260.08,29.07,0.25,20.31,67.62,208.0
2022-09-12,11.77,26.74,14.53,0.07,28.78,79.8,39.0
2022-01-11,55.47,122.85,24.04,0.42,15.65,86.47,102.0
2022-06-18,33.64,94.08,6.07,0.06,33.5,53.54,80.0
2022-04-14,47.96,167.42,15.35,0.0,32.85,26.12,122.0
2022-03-23,57.82,145.54,19.75,0.1,29.16,39.88,133.0
2022-06-30,18.86,23.91,10.47,0.07,26.7,87.26,38.0
2022-07-28,12.67,25.7,11.09,0.09,27.22,91.62,30.0
2022-07-02,33.57,64.14,6.12,0.08,30.64,76.2,65.0
2022-08-14,17.1,33.51,20.24,0.11,29.04,87.81,29.0
2022-09-05,24.74,60.22,18.99,0.09,32.61,69.58,54.0
2022-06-17,34.06,75.94,5.88,0.05,34.62,52.14,75.0
2022-07-19,31.19,64.88,32.17,0.07,35.38,57.91,57.0
2022-04-03,54.87,143.86,14.43,0.15,31.3,31.11,139.0
2022-03-11,53.43,139.13,16.72,0.08,24.2,53.99,127.0
2022-09-03,17.29,51.54,6.43,0.08,31.38,73.43,44.0
2022-04-07,61.91,164.27,13.95,9.42,31.93,30.73,123.0
2022-05-24,25.02,54.09,13.41,0.07,32.6,49.26,65.0
2022-10-06,8.18,18.45,28.89,0.1,25.51,92.56,25.0
2022-04-08,53.23,146.64,15.68,0.0,33.02,24.99,135.0
2022-10-26,63.21,131.2,22.07,0.2,24.42,67.8,156.0
2022-03-10,44.87,130.33,16.73,0.1,24.11,54.47,99.0
2022-01-24,52.01,139.68,20.97,0.17,14.6,82.78,151.0
2022-02-07,59.18,138.02,22.41,0.25,15.29,73.89,166.0
2022-05-25,41.17,93.78,15.37,0.09,30.34,54.17,70.0
2022-05-03,38.04,93.25,17.32,0.09,33.48,49.39,100.0
2022-03-09,62.68,142.98,16.82,0.08,24.66,52.69,117.0
2022-06-13,80.21,183.32,7.09,0.13,38.46,33.86,143.0
2022-10-15,47.67,100.92,16.98,0.15,26.1,78.57,93.0
2022-10-19,48.68,123.13,21.48,0.17,26.29,72.49,117.0
2022-12-11,77.3,192.56,43.57,0.32,18.68,79.99,213.0
2022-05-06,37.5,86.45,12.25,0.1,33.41,43.5,97.0
2022-05-27,63.15,174.27,18.51,0.09,34.77,42.44,148.0
2022-11-08,74.84,162.08,30.02,0.18,24.75,71.95,170.0
2022-03-28,60.87,167.76,19.34,0.05,30.38,32.45,160.0
2022-11-04,109.27,238.07,37.66,0.38,23.94,79.67,358.0
2022-07-05,38.27,65.85,4.61,0.06,34.54,64.1,69.0
2022-12-30,105.13,216.75,41.46,0.32,15.42,80.61,223.0
2022-06-25,47.8,79.43,10.31,0.08,35.21,54.95,101.0
2022-10-05,7.6,16.82,28.87,0.1,25.25,93.3,27.0
2022-06-27,46.97,72.85,9.18,0.06,35.75,55.22,80.0
2022-11-02,99.75,209.84,26.62,0.24,24.4,67.72,208.0
